,SYMBOL,13-SEP-2021,14-SEP-2021,15-SEP-2021,16-SEP-2021,17-SEP-2021,20-SEP-2021,21-SEP-2021,22-SEP-2021,23-SEP-2021,24-SEP-2021,27-SEP-2021,28-SEP-2021,29-SEP-2021,30-SEP-2021,V AVERAGE
35,ASIANPAINT,0.3496,0.3477,0.3477,0.3458,0.3458,0.3458,0.3458,0.3439,0.3439,0.3458,0.3458,0.3458,0.3458,0.3458,0.346
34,CIPLA,0.3496,0.3496,0.3477,0.3477,0.3477,0.3458,0.3458,0.3458,0.3458,0.3439,0.3439,0.342,0.342,0.342,0.346
6,NTPC,0.3362,0.3362,0.3477,0.3477,0.3458,0.3458,0.3458,0.3439,0.3439,0.3439,0.3439,0.3477,0.3573,0.3573,0.346
21,DRREDDY,0.3439,0.3439,0.342,0.342,0.342,0.342,0.342,0.3401,0.3401,0.3401,0.3382,0.3382,0.3382,0.3362,0.341
9,HDFCBANK,0.3382,0.3382,0.3362,0.3362,0.3362,0.3343,0.3343,0.3343,0.3343,0.3343,0.3343,0.3343,0.3343,0.3324,0.335
7,BAJAJ-AUTO,0.3382,0.3382,0.3362,0.3362,0.3362,0.3343,0.3343,0.3343,0.3343,0.3324,0.3343,0.3324,0.3324,0.3324,0.335
47,DIVISLAB,0.3362,0.3343,0.3343,0.3343,0.3324,0.3324,0.3324,0.3305,0.3305,0.3305,0.3343,0.3362,0.3343,0.3343,0.333
45,INFY,0.3286,0.3267,0.3267,0.3267,0.3248,0.3248,0.3248,0.3229,0.3229,0.3229,0.3248,0.3248,0.3229,0.3229,0.325
23,ITC,0.3133,0.3133,0.3133,0.3248,0.3229,0.3229,0.3248,0.3248,0.3229,0.3229,0.3229,0.3229,0.321,0.321,0.321
36,BRITANNIA,0.3171,0.3171,0.3171,0.3152,0.3152,0.3152,0.3133,0.3133,0.3114,0.3114,0.3114,0.3095,0.3095,0.3095,0.313
37,TCS,0.3095,0.3076,0.3076,0.3076,0.3076,0.3076,0.3076,0.3057,0.3057,0.3057,0.3038,0.3038,0.3038,0.3038,0.306
41,NESTLEIND,0.3019,0.3019,0.2999,0.2999,0.2999,0.298,0.298,0.298,0.2961,0.2961,0.2961,0.2961,0.2942,0.2942,0.298
40,HINDUNILVR,0.2923,0.2923,0.2923,0.2904,0.2904,0.2923,0.2923,0.2923,0.2904,0.2904,0.2904,0.2904,0.2904,0.2885,0.291
